Date,Total Earnings,Base Earning,Tip,Bonus,Wait Pay,Passenger Pay,Lyft Fees,External Fees,,,,,,,,,,,,
9/9/2025,6.24,4.75,0,1.42,0.07,9.99,2.61,1.14,,,,,,,,,,,,
9/9/2025,7.16,5.97,0,1.19,0,13.6,4.47,1.97,,,,,,,,,,,,
9/9/2025,7.05,5.88,0,1.17,0,9.99,1.73,1.21,,,,,,,,,,,,
9/9/2025,7.16,5.51,0,1.65,0,16.71,5.03,4.52,,,,,,,,,,,,
9/9/2025,9.22,4.64,0,1.39,0.19,10.96,0.54,1.2,,,,,,,,,,,,
9/9/2025,4.03,3.1,0,0.93,0,5.75,1.06,0.66,,,,,,,,,,,,
9/9/2025,8.16,6.28,0,1.88,0,9.9,0.34,1.4,,,,,,,,,,,,
9/9/2025,8.16,6.8,0,1.36,0,11.85,2.19,1.5,,,,,,,,,,,,
9/9/2025,14.92,10.13,2.27,2.02,0.5,15.11,1.03,1.43,,,,,,,,,,,,
Adjustment,2.81,0,0,0,0,0,0,0,,,,,,,,,,,,
9/10/2025,14.15,10.88,0,3.27,0,22.74,5.29,3.3,,,,,,,,,,,,
Adjustment,9.88,0,0,0,0,0,0,0,,,,,,,,,,,,
9/12/2025,14.16,7.62,3,3.54,0,9.74,-2.95,1.53,,,,,,,,,,,,
9/12/2025,9.31,7.63,0,1.52,0.16,15.85,3.94,2.6,,,,,,,,,,,,
9/12/2025,9.4,7.83,0,1.57,0,21.69,9.96,2.33,,,,,,,,,,,,
9/12/2025,9.24,5.84,2.23,1.17,0,14.87,7.03,0.83,,,,,,,,,,,,
Adjustment,2.56,0,0,0,0,0,0,0,,,,,,,,,,,,
9/14/2025,5.26,5.26,0,0,0,11.87,5.77,0.84,,,,,,,,,,,,
